sepal_length,sepal_width,petal_length,petal_width,species,,,
5.100000000000000000000000000000,3.5,1.4,0.2,setosa,,,
4.900000000000000000000000000000,3,1.4,0.2,setosa,,,
4.700000000000000000000000000000,3.2,1.3,0.2,setosa,,,
4.600000000000000000000000000000,3.1,1.5,0.2,setosa,,,
5.000000000000000000000000000000,3.6,1.4,0.2,setosa,,,
5.400000000000000000000000000000,3.9,1.7,0.4,setosa,,,
4.600000000000000000000000000000,3.4,1.4,0.3,setosa,,,
5.000000000000000000000000000000,3.4,1.5,0.2,setosa,,,
4.400000000000000000000000000000,2.9,1.4,0.2,setosa,,,
4.900000000000000000000000000000,3.1,1.5,0.1,setosa,,,
5.400000000000000000000000000000,3.7,1.5,0.2,setosa,,,
4.800000000000000000000000000000,3.4,1.6,0.2,setosa,,,
4.800000000000000000000000000000,3,1.4,0.1,setosa,,,
4.300000000000000000000000000000,3,1.1,0.1,setosa,,,
5.800000000000000000000000000000,4,1.2,0.2,setosa,,,
5.700000000000000000000000000000,4.4,1.5,0.4,setosa,,,
5.400000000000000000000000000000,3.9,1.3,0.4,setosa,,,
5.100000000000000000000000000000,3.5,1.4,0.3,setosa,,,
5.700000000000000000000000000000,3.8,1.7,0.3,setosa,,,
5.100000000000000000000000000000,3.8,1.5,0.3,setosa,,,
5.400000000000000000000000000000,3.4,1.7,0.2,setosa,,,
5.100000000000000000000000000000,3.7,1.5,0.4,setosa,,,
4.600000000000000000000000000000,3.6,1,0.2,setosa,,,
5.100000000000000000000000000000,3.3,1.7,0.5,setosa,,,
4.800000000000000000000000000000,3.4,1.9,0.2,setosa,,,
5.000000000000000000000000000000,3,1.6,0.2,setosa,,,
5.000000000000000000000000000000,3.4,1.6,0.4,setosa,,,
5.200000000000000000000000000000,3.5,1.5,0.2,setosa,,,
5.200000000000000000000000000000,3.4,1.4,0.2,setosa,,,
4.700000000000000000000000000000,3.2,1.6,0.2,setosa,,,
4.800000000000000000000000000000,3.1,1.6,0.2,setosa,,,
5.400000000000000000000000000000,3.4,1.5,0.4,setosa,,,
5.200000000000000000000000000000,4.1,1.5,0.1,setosa,,,
5.500000000000000000000000000000,4.2,1.4,0.2,setosa,,,
4.900000000000000000000000000000,3.1,1.5,0.1,setosa,,,
5.000000000000000000000000000000,3.2,1.2,0.2,setosa,,,
5.500000000000000000000000000000,3.5,1.3,0.2,setosa,,,
4.900000000000000000000000000000,3.1,1.5,0.1,setosa,,,
4.400000000000000000000000000000,3,1.3,0.2,setosa,,,
5.100000000000000000000000000000,3.4,1.5,0.2,setosa,,,
5.000000000000000000000000000000,3.5,1.3,0.3,setosa,,,
4.500000000000000000000000000000,2.3,1.3,0.3,setosa,,,
4.400000000000000000000000000000,3.2,1.3,0.2,setosa,,,
5.000000000000000000000000000000,3.5,1.6,0.6,setosa,,,
5.100000000000000000000000000000,3.8,1.9,0.4,setosa,,,
4.800000000000000000000000000000,3,1.4,0.3,setosa,,,
5.100000000000000000000000000000,3.8,1.6,0.2,setosa,,,
4.600000000000000000000000000000,3.2,1.4,0.2,setosa,,,
5.300000000000000000000000000000,3.7,1.5,0.2,setosa,,,
5.000000000000000000000000000000,3.3,1.4,0.2,setosa,,,
7.000000000000000000000000000000,3.2,4.7,1.4,versicolor,,,
6.400000000000000000000000000000,3.2,4.5,1.5,versicolor,,,
6.900000000000000000000000000000,3.1,4.9,1.5,versicolor,,,
5.500000000000000000000000000000,2.3,4,1.3,versicolor,,,
6.500000000000000000000000000000,2.8,4.6,1.5,versicolor,,,
5.700000000000000000000000000000,2.8,4.5,1.3,versicolor,,,
6.300000000000000000000000000000,3.3,4.7,1.6,versicolor,,,
4.900000000000000000000000000000,2.4,3.3,1,versicolor,,,
6.600000000000000000000000000000,2.9,4.6,1.3,versicolor,,,
5.200000000000000000000000000000,2.7,3.9,1.4,versicolor,,,
5.000000000000000000000000000000,2,3.5,1,versicolor,,,
5.900000000000000000000000000000,3,4.2,1.5,versicolor,,,
6.000000000000000000000000000000,2.2,4,1,versicolor,,,
6.100000000000000000000000000000,2.9,4.7,1.4,versicolor,,,
5.600000000000000000000000000000,2.9,3.6,1.3,versicolor,,,
6.700000000000000000000000000000,3.1,4.4,1.4,versicolor,,,
5.600000000000000000000000000000,3,4.5,1.5,versicolor,,,
5.800000000000000000000000000000,2.7,4.1,1,versicolor,,,
6.200000000000000000000000000000,2.2,4.5,1.5,versicolor,,,
5.600000000000000000000000000000,2.5,3.9,1.1,versicolor,,,
5.900000000000000000000000000000,3.2,4.8,1.8,versicolor,,,
6.100000000000000000000000000000,2.8,4,1.3,versicolor,,,
6.300000000000000000000000000000,2.5,4.9,1.5,versicolor,,,
6.100000000000000000000000000000,2.8,4.7,1.2,versicolor,,,
6.400000000000000000000000000000,2.9,4.3,1.3,versicolor,,,
6.600000000000000000000000000000,3,4.4,1.4,versicolor,,,
6.800000000000000000000000000000,2.8,4.8,1.4,versicolor,,,
6.700000000000000000000000000000,3,5,1.7,versicolor,,,
6.000000000000000000000000000000,2.9,4.5,1.5,versicolor,,,
5.700000000000000000000000000000,2.6,3.5,1,versicolor,,,
5.500000000000000000000000000000,2.4,3.8,1.1,versicolor,,,
5.500000000000000000000000000000,2.4,3.7,1,versicolor,,,
5.800000000000000000000000000000,2.7,3.9,1.2,versicolor,,,
6.000000000000000000000000000000,2.7,5.1,1.6,versicolor,,,
5.400000000000000000000000000000,3,4.5,1.5,versicolor,,,
6.000000000000000000000000000000,3.4,4.5,1.6,versicolor,,,
6.700000000000000000000000000000,3.1,4.7,1.5,versicolor,,,
6.300000000000000000000000000000,2.3,4.4,1.3,versicolor,,,
5.600000000000000000000000000000,3,4.1,1.3,versicolor,,,
5.500000000000000000000000000000,2.5,4,1.3,versicolor,,,
5.500000000000000000000000000000,2.6,4.4,1.2,versicolor,,,
6.100000000000000000000000000000,3,4.6,1.4,versicolor,,,
5.800000000000000000000000000000,2.6,4,1.2,versicolor,,,
5.000000000000000000000000000000,2.3,3.3,1,versicolor,,,
5.600000000000000000000000000000,2.7,4.2,1.3,versicolor,,,
5.700000000000000000000000000000,3,4.2,1.2,versicolor,,,
5.700000000000000000000000000000,2.9,4.2,1.3,versicolor,,,
6.200000000000000000000000000000,2.9,4.3,1.3,versicolor,,,
5.100000000000000000000000000000,2.5,3,1.1,versicolor,,,
5.700000000000000000000000000000,2.8,4.1,1.3,versicolor,,,
6.300000000000000000000000000000,3.3,6,2.5,virginica,,,
5.800000000000000000000000000000,2.7,5.1,1.9,virginica,,,
7.100000000000000000000000000000,3,5.9,2.1,virginica,,,
6.300000000000000000000000000000,2.9,5.6,1.8,virginica,,,
6.500000000000000000000000000000,3,5.8,2.2,virginica,,,
7.600000000000000000000000000000,3,6.6,2.1,virginica,,,
4.900000000000000000000000000000,2.5,4.5,1.7,virginica,,,
7.300000000000000000000000000000,2.9,6.3,1.8,virginica,,,
6.700000000000000000000000000000,2.5,5.8,1.8,virginica,,,
7.200000000000000000000000000000,3.6,6.1,2.5,virginica,,,
6.500000000000000000000000000000,3.2,5.1,2,virginica,,,
6.400000000000000000000000000000,2.7,5.3,1.9,virginica,,,
6.800000000000000000000000000000,3,5.5,2.1,virginica,,,
5.700000000000000000000000000000,2.5,5,2,virginica,,,
5.800000000000000000000000000000,2.8,5.1,2.4,virginica,,,
6.400000000000000000000000000000,3.2,5.3,2.3,virginica,,,
6.500000000000000000000000000000,3,5.5,1.8,virginica,,,
7.700000000000000000000000000000,3.8,6.7,2.2,virginica,,,
7.700000000000000000000000000000,2.6,6.9,2.3,virginica,,,
6.000000000000000000000000000000,2.2,5,1.5,virginica,,,
6.900000000000000000000000000000,3.2,5.7,2.3,virginica,,,
5.600000000000000000000000000000,2.8,4.9,2,virginica,,,
7.700000000000000000000000000000,2.8,6.7,2,virginica,,,
6.300000000000000000000000000000,2.7,4.9,1.8,virginica,,,
6.700000000000000000000000000000,3.3,5.7,2.1,virginica,,,
7.200000000000000000000000000000,3.2,6,1.8,virginica,,,
6.200000000000000000000000000000,2.8,4.8,1.8,virginica,,,
6.100000000000000000000000000000,3,4.9,1.8,virginica,,,
6.400000000000000000000000000000,2.8,5.6,2.1,virginica,,,
7.200000000000000000000000000000,3,5.8,1.6,virginica,,,
7.400000000000000000000000000000,2.8,6.1,1.9,virginica,,,
7.900000000000000000000000000000,3.8,6.4,2,virginica,,,
6.400000000000000000000000000000,2.8,5.6,2.2,virginica,,,
6.300000000000000000000000000000,2.8,5.1,1.5,virginica,,,
6.100000000000000000000000000000,2.6,5.6,1.4,virginica,,,
7.700000000000000000000000000000,3,6.1,2.3,virginica,,,
6.300000000000000000000000000000,3.4,5.6,2.4,virginica,,,
6.400000000000000000000000000000,3.1,5.5,1.8,virginica,,,
6.000000000000000000000000000000,3,4.8,1.8,virginica,,,
6.900000000000000000000000000000,3.1,5.4,2.1,virginica,,,
6.700000000000000000000000000000,3.1,5.6,2.4,virginica,,,
6.900000000000000000000000000000,3.1,5.1,2.3,virginica,,,
5.800000000000000000000000000000,2.7,5.1,1.9,virginica,,,
6.800000000000000000000000000000,3.2,5.9,2.3,virginica,,,
6.700000000000000000000000000000,3.3,5.7,2.5,virginica,,,
6.700000000000000000000000000000,3,5.2,2.3,virginica,,,
6.300000000000000000000000000000,2.5,5,1.9,virginica,,,
6.500000000000000000000000000000,3,5.2,2,virginica,,,
6.200000000000000000000000000000,3.4,5.4,2.3,virginica,,,
5.900000000000000000000000000000,3,5.1,1.8,virginica,,,
